x= 0,x= 0.02,x= 0.04,x= 0.06,x= 0.08,x= 0.1,x= 0.12,x= 0.14,x= 0.16,x= 0.18,x= 0.2,x= 0.22,x= 0.24,x= 0.26,x= 0.28,x= 0.3,x= 0.32,x= 0.34,x= 0.36,x= 0.38,x= 0.4,x= 0.42,x= 0.44,x= 0.46,x= 0.48,x= 0.5,x= 0.52,x= 0.54,x= 0.56,x= 0.58,x= 0.6,x= 0.62,x= 0.64,x= 0.66,x= 0.68,x= 0.7,x= 0.72,x= 0.74,x= 0.76,x= 0.78,x= 0.8,x= 0.82,x= 0.84,x= 0.86,x= 0.88,x= 0.9,x= 0.92,x= 0.94,x= 0.96,x= 0.98,x= 1
0,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,1.22465e-16,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,-2.44929e-16,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,3.67394e-16,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,-4.89859e-16,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,0
0,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,1.11022e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,-2.498e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,3.60822e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,3.60822e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,0
0,0.25,0.475528,0.654509,0.769421,0.809017,0.769421,0.654509,0.475528,0.25,-1.22465e-16,-0.25,-0.475528,-0.654509,-0.769421,-0.809017,-0.769421,-0.654509,-0.475528,-0.25,2.44929e-16,0.25,0.475528,0.654509,0.769421,0.809017,0.769421,0.654509,0.475528,0.25,-3.67394e-16,-0.25,-0.475528,-0.654509,-0.769421,-0.809017,-0.769421,-0.654509,-0.475528,-0.25,4.89859e-16,0.25,0.475528,0.654509,0.769421,0.809017,0.769421,0.654509,0.475528,0.25,0
0,0.181636,0.345492,0.475528,0.559017,0.587785,0.559017,0.475528,0.345492,0.181636,-1.11022e-16,-0.181636,-0.345492,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345492,-0.181636,2.498e-16,0.181636,0.345492,0.475528,0.559017,0.587785,0.559017,0.475528,0.345492,0.181636,-3.60822e-16,-0.181636,-0.345492,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345492,-0.181636,-3.60822e-16,0.181636,0.345492,0.475528,0.559017,0.587785,0.559017,0.475528,0.345492,0.181636,0
0,0.0954915,0.181636,0.25,0.293892,0.309017,0.293892,0.25,0.181636,0.0954915,1.22465e-16,-0.0954915,-0.181636,-0.25,-0.293892,-0.309017,-0.293892,-0.25,-0.181636,-0.0954915,-2.44929e-16,0.0954915,0.181636,0.25,0.293892,0.309017,0.293892,0.25,0.181636,0.0954915,3.67394e-16,-0.0954915,-0.181636,-0.25,-0.293892,-0.309017,-0.293892,-0.25,-0.181636,-0.0954915,-4.89859e-16,0.0954915,0.181636,0.25,0.293892,0.309017,0.293892,0.25,0.181636,0.0954915,0
0,0,5.96046e-08,-1.78814e-07,1.78814e-07,-1.78814e-07,1.78814e-07,-1.78814e-07,5.96046e-08,0,1.11022e-16,0,-5.96046e-08,1.78814e-07,-1.78814e-07,1.78814e-07,-1.78814e-07,1.78814e-07,-5.96046e-08,0,-2.498e-16,0,5.96046e-08,-1.78814e-07,1.78814e-07,-1.78814e-07,1.78814e-07,-1.78814e-07,5.96046e-08,0,3.60822e-16,0,-5.96046e-08,1.78814e-07,-1.78814e-07,1.78814e-07,-1.78814e-07,1.78814e-07,-5.96046e-08,0,3.60822e-16,0,5.96046e-08,-1.78814e-07,1.78814e-07,-1.78814e-07,1.78814e-07,-1.78814e-07,5.96046e-08,0,0
0,-0.0954915,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954915,-1.22465e-16,0.0954915,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954915,2.44929e-16,-0.0954915,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954915,-3.67394e-16,0.0954915,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954915,4.89859e-16,-0.0954915,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954915,0
0,-0.181636,-0.345491,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345491,-0.181636,-1.11022e-16,0.181636,0.345491,0.475528,0.559017,0.587785,0.559017,0.475528,0.345491,0.181636,2.498e-16,-0.181636,-0.345491,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345491,-0.181636,-3.60822e-16,0.181636,0.345491,0.475528,0.559017,0.587785,0.559017,0.475528,0.345491,0.181636,-3.60822e-16,-0.181636,-0.345491,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345491,-0.181636,0
0,-0.25,-0.475528,-0.654508,-0.769421,-0.809017,-0.769421,-0.654508,-0.475528,-0.25,1.22465e-16,0.25,0.475528,0.654508,0.769421,0.809017,0.769421,0.654508,0.475528,0.25,-2.44929e-16,-0.25,-0.475528,-0.654508,-0.769421,-0.809017,-0.769421,-0.654508,-0.475528,-0.25,3.67394e-16,0.25,0.475528,0.654508,0.769421,0.809017,0.769421,0.654508,0.475528,0.25,-4.89859e-16,-0.25,-0.475528,-0.654508,-0.769421,-0.809017,-0.769421,-0.654508,-0.475528,-0.25,0
0,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,1.11022e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,-2.498e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,3.60822e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,3.60822e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,0
0,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,-1.22465e-16,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,2.44929e-16,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,-3.67394e-16,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,4.89859e-16,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,0
0,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,-1.11022e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,2.498e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,-3.60822e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,-3.60822e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,0
0,-0.25,-0.475528,-0.654509,-0.769421,-0.809017,-0.769421,-0.654509,-0.475528,-0.25,1.22465e-16,0.25,0.475528,0.654509,0.769421,0.809017,0.769421,0.654509,0.475528,0.25,-2.44929e-16,-0.25,-0.475528,-0.654509,-0.769421,-0.809017,-0.769421,-0.654509,-0.475528,-0.25,3.67394e-16,0.25,0.475528,0.654509,0.769421,0.809017,0.769421,0.654509,0.475528,0.25,-4.89859e-16,-0.25,-0.475528,-0.654509,-0.769421,-0.809017,-0.769421,-0.654509,-0.475528,-0.25,0
0,-0.181636,-0.345492,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345492,-0.181636,1.11022e-16,0.181636,0.345492,0.475528,0.559017,0.587785,0.559017,0.475528,0.345492,0.181636,-2.498e-16,-0.181636,-0.345492,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345492,-0.181636,3.60822e-16,0.181636,0.345492,0.475528,0.559017,0.587785,0.559017,0.475528,0.345492,0.181636,3.60822e-16,-0.181636,-0.345492,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345492,-0.181636,0
0,-0.0954916,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954916,-1.22465e-16,0.0954916,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954916,2.44929e-16,-0.0954916,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954916,-3.67394e-16,0.0954916,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954916,4.89859e-16,-0.0954916,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954916,0
0,0,-1.78814e-07,1.19209e-07,-2.98023e-07,5.96046e-08,-2.98023e-07,1.19209e-07,-1.78814e-07,0,-1.11022e-16,0,1.78814e-07,-1.19209e-07,2.98023e-07,-5.96046e-08,2.98023e-07,-1.19209e-07,1.78814e-07,0,2.498e-16,0,-1.78814e-07,1.19209e-07,-2.98023e-07,5.96046e-08,-2.98023e-07,1.19209e-07,-1.78814e-07,0,-3.60822e-16,0,1.78814e-07,-1.19209e-07,2.98023e-07,-5.96046e-08,2.98023e-07,-1.19209e-07,1.78814e-07,0,-3.60822e-16,0,-1.78814e-07,1.19209e-07,-2.98023e-07,5.96046e-08,-2.98023e-07,1.19209e-07,-1.78814e-07,0,0
0,0.0954914,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954914,1.22465e-16,-0.0954914,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954914,-2.44929e-16,0.0954914,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954914,3.67394e-16,-0.0954914,-0.181636,-0.25,-0.293893,-0.309017,-0.293893,-0.25,-0.181636,-0.0954914,-4.89859e-16,0.0954914,0.181636,0.25,0.293893,0.309017,0.293893,0.25,0.181636,0.0954914,0
0,0.181636,0.345491,0.475528,0.559017,0.587785,0.559017,0.475528,0.345491,0.181636,1.11022e-16,-0.181636,-0.345491,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345491,-0.181636,-2.498e-16,0.181636,0.345491,0.475528,0.559017,0.587785,0.559017,0.475528,0.345491,0.181636,3.60822e-16,-0.181636,-0.345491,-0.475528,-0.559017,-0.587785,-0.559017,-0.475528,-0.345491,-0.181636,3.60822e-16,0.181636,0.345491,0.475528,0.559017,0.587785,0.559017,0.475528,0.345491,0.181636,0
0,0.25,0.475528,0.654508,0.769421,0.809017,0.769421,0.654508,0.475528,0.25,-1.22465e-16,-0.25,-0.475528,-0.654508,-0.769421,-0.809017,-0.769421,-0.654508,-0.475528,-0.25,2.44929e-16,0.25,0.475528,0.654508,0.769421,0.809017,0.769421,0.654508,0.475528,0.25,-3.67394e-16,-0.25,-0.475528,-0.654508,-0.769421,-0.809017,-0.769421,-0.654508,-0.475528,-0.25,4.89859e-16,0.25,0.475528,0.654508,0.769421,0.809017,0.769421,0.654508,0.475528,0.25,0
0,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,-1.11022e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,2.498e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,-3.60822e-16,-0.293893,-0.559017,-0.769421,-0.904508,-0.951057,-0.904508,-0.769421,-0.559017,-0.293893,-3.60822e-16,0.293893,0.559017,0.769421,0.904508,0.951057,0.904508,0.769421,0.559017,0.293893,0
0,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,1.22465e-16,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,-2.44929e-16,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,3.67394e-16,-0.309017,-0.587785,-0.809017,-0.951057,-1,-0.951057,-0.809017,-0.587785,-0.309017,-4.89859e-16,0.309017,0.587785,0.809017,0.951057,1,0.951057,0.809017,0.587785,0.309017,0